file_offset,str_ptr,func_ptr,name
0x001636B8,0xFF162F94,0xFF162FA8,DisablePowerSave
0x001636BC,0xFF162FA8,0xFF162FD4,PROPAD_GetPropertyCountByDataType Err=%d
0x001636C0,0xFF162FD4,0xFF163004,PROPAD_GetPropertyCountByDataType IdCount=%d
0x001636C4,0xFF163004,0xFF163024,AllocateUncacheableMemory NULL
0x001636C8,0xFF163024,0xFF163044,AllocateUncacheableMemory %#lx
0x001BA0D8,0xFF1B8A80,0xFFC100D8,Scene_1
0x001BA0DC,0xFFC100D8,0x000787AE,id
0x001C2568,0xFF1C1300,0xFF1BFE4C,FindObj(GpsStock)
0x001C256C,0xFF1BFE4C,0xFF1BFE84,SRM_AllocateMemoryForFileHeader failed [%#x]
0x001C333C,0xFF1C2C80,0xFF1C2CB4,ConvertToJpegHeader : TIFF_TAG_DATETIME [%#x]
0x001C3340,0xFF1C2CB4,0xFF1C2CCC,TIFF_TAG_ARTIST failed.
0x001C3344,0xFF1C2CCC,0xFF1C2CFC,ConvertToJpegHeader : TIFF_TAG_ARTIST [%#x]
0x001D3CEC,0xFF1D2208,0xFF1D2230,FA_SetCRawBitNum
0x001D3CF0,0xFF1D2230,0xFF1D2244,FA_SetObIntegMode
0x001D3CF4,0xFF1D2244,0xFF1D225C,FA_SetProjectionMode
0x001D3CF8,0xFF1D225C,0xFF1D2274,FA_SetBayerComponent
0x001D3CFC,0xFF1D2274,0xFF1D2288,FA_SetChannelNum
0x001D3D00,0xFF1D2288,0xFF1D22A0,FA_SetDarkLevelValue
0x001D3D04,0xFF1D22A0,0xFF1D22B8,FA_SetProjectionWindow
0x001D3D08,0xFF1D22B8,0xFF1D22D0,FA_SetHProjectionRange
0x001D49C0,0xFF1D3C50,0xFF1D3C70,FA_SetLvControlAEParam
0x001D49C4,0xFF1D3C70,0xFF1D3C84,FA_StartLvTestImage
0x001D49C8,0xFF1D3C84,0xFF1D3CA4,FA_SetContinuasCaptureForIso
0x001D49CC,0xFF1D3CA4,0xFF1D3CC0,FA_SetLvCaptureStartFrame
0x001D49D0,0xFF1D3CC0,0xFF1D3CD8,FA_SetLvProjectionMode
0x001D529C,0xFF1D21D0,0xFF1D21F8,FA_CreateTestImage
0x001D52A0,0xFF1D21F8,0xFF1D2208,FA_GetCrawBuf
0x001D52A4,0xFF1D2208,0xFF1D2230,FA_SetCRawBitNum
0x001D52A8,0xFF1D2230,0xFF1D2244,FA_SetObIntegMode
0x001D52AC,0xFF1D2244,0xFF1D225C,FA_SetProjectionMode
0x001D52B0,0xFF1D225C,0xFF1D2274,FA_SetBayerComponent
0x001D52B4,0xFF1D2274,0xFF1D2288,FA_SetChannelNum
0x001D52B8,0xFF1D2288,0xFF1D22A0,FA_SetDarkLevelValue
0x001D52BC,0xFF1D22A0,0xFF1D22B8,FA_SetProjectionWindow
0x001D52C0,0xFF1D22B8,0xFF1D22D0,FA_SetHProjectionRange
0x001D5310,0xFF1D2B2C,0xFF1D2B48,FA_RegistSavePropertyList
0x001D5314,0xFF1D2B48,0xFF1D2B5C,FA_SavePropertyList
0x001D5DD8,0xFF1D2190,0xFF1D21E4,FA_SetProperty
0x001D5DDC,0xFF1D21E4,0xFF1D221C,FA_CaptureTestImage
0x00213B18,0xFF2133F8,0xFF213424,this->MemoryMap[MCTRL_CURRENT] Default!!!
0x00213B1C,0xFF213424,0xFF21344C,ST_MEM_MAP_INNER_DEVELOP PROP_LV_PERMIT
0x0021F9CC,0xFF21F078,0xFF21F084,JPEG_OBWB
0x0021F9D0,0xFF21F084,0xFF21F0A8,RemoveObject : JPEG_OBWB not found
0x0021F9D4,0xFF21F0A8,0xFF21F0B4,LUCKY_ANGEL
0x0021F9D8,0xFF21F0B4,0xFF21F0DC,RemoveObject : LUCKY_ANGEL not found
0x0021F9DC,0xFF21F0DC,0xFF21F0E8,ENABLE_FLAG
0x0021F9E0,0xFF21F0E8,0xFF21F110,RemoveObject : ENABLE_FLAG not found
0x0021F9E4,0xFF21F110,0xFF21F120,CORRECT_DATA
0x0021F9E8,0xFF21F120,0xFF21F148,RemoveObject : CORRECT_DATA not found
0x0021F9EC,0xFF21F148,0xFF21F158,VARIABLE_DATA
0x0021F9F0,0xFF21F158,0xFF21F180,RemoveObject : VARIABLE_DATA not found
0x0021F9F4,0xFF21F180,0xFF21F18C,RAW_OBWB
0x0021F9F8,0xFF21F18C,0xFF21F1B0,RemoveObject : RAW_OBWB not found
0x0021F9FC,0xFF21F1B0,0xFF21F1BC,SRAW_OBWB
0x0021FA00,0xFF21F1BC,0xFF21F1E0,RemoveObject : SRAW_OBWB not found
0x0021FA04,0xFF21F1E0,0xFF21F1EC,LRAW_YUV
0x0021FA08,0xFF21F1EC,0xFF21F210,RemoveObject : LRAW_YUV not found
0x0021FA0C,0xFF21F210,0xFF21F21C,MRAW_YUV
0x0021FA10,0xFF21F21C,0xFF21F240,RemoveObject : MRAW_YUV not found
0x0021FA14,0xFF21F240,0xFF21F24C,SRAW_YUV
0x0021FA18,0xFF21F24C,0xFF21F270,RemoveObject : SRAW_YUV not found
0x0021FA1C,0xFF21F270,0xFF21F27C,JPEG_LF_YUV
0x0021FA20,0xFF21F27C,0xFF21F2A4,RemoveObject : JPEG_LF_YUV not found
0x0021FA24,0xFF21F2A4,0xFF21F2B0,JPEG_LN_YUV
0x0021FA28,0xFF21F2B0,0xFF21F2D8,RemoveObject : JPEG_LN_YUV not found
0x0021FA2C,0xFF21F2D8,0xFF21F2E4,JPEG_MF_YUV
0x0021FA30,0xFF21F2E4,0xFF21F30C,RemoveObject : JPEG_MF_YUV not found
0x0021FA34,0xFF21F30C,0xFF21F318,JPEG_MN_YUV
0x0021FA38,0xFF21F318,0xFF21F340,RemoveObject : JPEG_MN_YUV not found
0x0021FA3C,0xFF21F340,0xFF21F34C,JPEG_SF_YUV
0x0021FA40,0xFF21F34C,0xFF21F374,RemoveObject : JPEG_SF_YUV not found
0x0021FA44,0xFF21F374,0xFF21F380,JPEG_SN_YUV
0x0021FA48,0xFF21F380,0xFF21F3A8,RemoveObject : JPEG_SN_YUV not found
0x0021FA4C,0xFF21F3A8,0xFF21F56C,JPEG_S2_YUV
0x00225088,0xFF21D28C,0xFF21D2CC,SRM_AllocateMemoryResourceForJobObject failed [%#x, %#x]
0x0022508C,0xFF21D2CC,0xFF21D7F0,SRM_AllocateMemoryResourceForCaptureWork failed [%#x, %#x]
0x0027C494,0xFF27BDEC,0xFF27C388,PROP_REMOTE_RELEASE[%x]
0x0027C498,0xFF27C388,0xFF27B998,d�
0x002EFAC0,0xFF2EF348,0xFF2EF364,FC_CreateFilePath (%#x)
0x002EFAC4,0xFF2EF364,0xFF2EF634,FW_AsyncWriteFile (%#x)
0x002F103C,0xFF2F07DC,0xFF2F07F4,FIO_GetFileTime (%#x)
0x002F1040,0xFF2F07F4,0xFF2F0810,FIO_GetFileAttributes (%#x)
0x002F1044,0xFF2F0810,0xFF2F0828,FIO_SetFileTime (%#x)
0x003028DC,0xFF2FC18C,0xFF2FC1A8,GPS_TAG_LATITUDEREF failed
0x003028E0,0xFF2FC1A8,0xFF2FC1C0,GPS_TAG_LATITUDE failed
0x003028E4,0xFF2FC1C0,0xFF2FC1DC,GPS_TAG_LONGITUDEREF failed
0x003028E8,0xFF2FC1DC,0xFF2FC1F8,GPS_TAG_LONGITUDE failed
0x003028EC,0xFF2FC1F8,0xFF2FC214,GPS_TAG_ALTITUDEREF failed
0x003028F0,0xFF2FC214,0xFF2FC22C,GPS_TAG_ALTITUDE failed
0x003066B8,0xFF305048,0xFF3051D0,fmReadCR2FromFile : TIFF_TAG_IMAGELENGTH [%#x]

0x003066BC,0xFF3051D0,0xFF305208,fmReadCR2FromFile : TIFF_TAG_STRIPOFFSETS [%#x]

0x003D4E50,0xFF3D3E94,0xFF3D3EBC,EXIF_TAG_EXPOSUREMODE not Found.
0x003D4E54,0xFF3D3EBC,0xFF3D3EE4,EXIF_TAG_WHITEBALANCE not Found.
0x003D4E58,0xFF3D3EE4,0xFF3D3F10,EXIF_TAG_SCENECAPTURETYPE not Found.
0x003D4E5C,0xFF3D3F10,0xFF3D3F44,ConvertToJpegHeader : EXIF_TAG_LENSMODEL not Found
0x003DA3E8,0xFF3D90C4,0xFF3D9568,CanonLog
0x003DA3EC,0xFF3D9568,0xFF3D9590,PROP_PC_FLAVOR1_PARAM Cannot Find
0x003DA3F0,0xFF3D9590,0xFF3D95B8,PROP_PC_FLAVOR2_PARAM Cannot Find
0x003E3524,0xFF3E284C,0xFF3E2874,PROP_PC_FLAVOR1_PARAM Cannot Find
0x003E3528,0xFF3E2874,0xFF3E289C,PROP_PC_FLAVOR2_PARAM Cannot Find
0x008E836C,0xFF8E7984,0xFF8E79D8,DlgMnBatteryInfo.c TERMINATE_WINSYS
0x008E8370,0xFF8E79D8,0xFF8E7A2C,DlgMnBatteryInfo.c DELETE_DIALOG_REQUEST
0x009B66F4,0xFF9B5F9C,0xFF9B5F68,ul_rfc2459_paramsLen != NULL
0x009B66F8,0xFF9B5F68,0xFF9B5F58,status != NULL
0x00A0FE00,0xFFA0F48C,0xFFA0F4AC,Missing Required Attributes

0x00A0FE04,0xFFA0F4AC,0xFFA0F4D8,Missing Required Encrypted Attributes

0x00A0FE08,0xFFA0F4D8,0xFFA0F444,req_para=%d	req_enc_para=%d

0x00A134E4,0xFFA12B64,0xFFA12B84,Missing Required Attributes

0x00A134E8,0xFFA12B84,0xFFA12BB0,Missing Required Encrypted Attributes

0x00A134EC,0xFFA12BB0,0xFFA12B1C,req_para=%d	req_enc_para=%d

0x00A14F54,0xFFD45517,0xFFD454FD,ShootVfx
0x00A14F58,0xFFD454FD,0xFFD462D8,SVS_SetCurrentStateObject
0x00A14F5C,0xFFD462D8,0xFFD454E2,HDR
0x00A14F60,0xFFD454E2,0xFFD454E7,TA10
0x00A14F64,0xFFD454E7,0xFFD462EA,GIS
0x00A14F68,0xFFD462EA,0xFFD454EB,Potato
0x00A14F6C,0xFFD454EB,0xFFD45520,Non Current Table
0x00A14F70,0xFFD45520,0xFFD45524,Evf
0x00A14F74,0xFFD45524,0xFFD4552D,LVFACE
0x00A14F78,0xFFD4552D,0xFF0D4D38,lockface
0x00A15C5C,0xFFD45B8C,0xFF1CEA48,FA_GetCalendar
0x00A15C60,0xFF1CEA48,0xFFD45BAA,p@-�B
0x00A15C64,0xFFD45BAA,0xFF1CE888,FA_ResetCalendar
0x00A15C7C,0xFFD4546E,0xFF1CF00C,FA_DeleteTestImage
0x00A15C80,0xFF1CF00C,0xFFD457D1,p@-�
0x00A15C84,0xFFD457D1,0xFF1CF46C,FA_CaptureTestImage
0x00A15CA4,0xFFD45A86,0xFF1CFA68,FA_GetShootingParam
0x00A15CA8,0xFF1CFA68,0xFFD455DA,p@-�
0x00A15CAC,0xFFD455DA,0xFF1CEB18,FA_EnableAF
0x00A15CC4,0xFFD45964,0xFF1D0444,FA_GetCheckFlagBoardInf
0x00A15CC8,0xFF1D0444,0xFFD4597C,x��@-�
0x00A15CCC,0xFFD4597C,0xFF1D046C,FA_GetCheckProgramVersionBoardInf
0x00A15CD0,0xFF1D046C,0xFFD459CB,h��@-�
0x00A15CD4,0xFFD459CB,0xFF1D0494,FA_GetCheckModelNoInf
0x00A15CD8,0xFF1D0494,0xFFD4599E,T��@-�
0x00A15CDC,0xFFD4599E,0xFF1D0584,FA_CopyVideoBoardInf
0x00A15D04,0xFFD4573D,0xFF1D0510,FA_WriteEepromData
0x00A15D08,0xFF1D0510,0xFFD456FC,p@-�
0x00A15D0C,0xFFD456FC,0xFF1CF82C,FA_GetImageThermometerAdcData
0x00A15E5C,0xFFD45A6F,0xFF1D01C8,FA_SetLvControlAEParam
0x00A15E60,0xFF1D01C8,0xFFD45783,p@-�����h�H������
0x00A15E64,0xFFD45783,0xFF1D0B90,FA_SetLvProjectionMode
0x00A15ECC,0xFFD45A23,0xFF1D0FDC,FA_GetLvDetectDefectsNumFull
0x00A15ED0,0xFF1D0FDC,0xFFD45CFA,W�9�
0x00A15ED4,0xFFD45CFA,0xFF1D101C,FA_GetLvDetectDefectsNumMagnify
0x00A15ED8,0xFF1D101C,0xFFD45D4D,S�9���@-� ��0��
0x00A15EDC,0xFFD45D4D,0xFF1D1054,FA_GetLvDefMaergeCountMagnify
0x00A15EEC,0xFFD45B4F,0xFF1D109C,FA_GetLvDefMaxCountMovieCrop
0x00A15EF0,0xFF1D109C,0xFFD45B33,G�9�FA_SetProjectionMode
0x00A15EF4,0xFFD45B33,0xFF1D1068,FA_LvDetectDefectsMovieCrop
0x00A15F0C,0xFFD45676,0xFF1CF3A0,FA_UnregisterPostNextCBR
0x00A15F10,0xFF1CF3A0,0xFFD45901,x�
0x00A15F14,0xFFD45901,0xFF1D18FC,FA_DarkAdjAutoExecute
0x00A15F7C,0xFFD458CF,0xFF1CF3B0,Release
0x00A15F80,0xFF1CF3B0,0xFFD45A12,p@-�
0x00A15F84,0xFFD45A12,0xFF11CD1C,FA_GetSoundLevel
0x00A78FEC,0xFFD465B1,0xFFD465A3,VramStage
0x00A78FF0,0xFFD465A3,0x00024A08,epp_jpeg2card
0x00A791A0,0xFFD465FC,0xFFD46609,DeliverStage
0x00A791A4,0xFFD46609,0x00026428,lv_nv12_dump
0x00A79B90,0xFFD4663B,0xFFD46648,CFilterStage
0x00A79B94,0xFFD46648,0xFF190EA8,lv_cfil_yuv_dump
0x00ADFF2C,0xFFD468BC,0xFFD468A9,IVA_NULL
0x00ADFF30,0xFFD468A9,0xFFD4689E,IVA_COMPLETE
0x00ADFF34,0xFFD4689E,0xFFD46889,IVA_INIDLE
0x00ADFF38,0xFFD46889,0xFFD46878,SEQUENCEPARAMSCHANGE
0x00ADFF3C,0xFFD46878,0xFFD4686A,INSUFFICIENTDATA
0x00ADFF40,0xFFD4686A,0xFFD468E9,CORRUPTEDDATA
0x00ADFF44,0xFFD468E9,0xFFD468C5,CORRUPTEDHEADER
0x00ADFF48,0xFFD468C5,0xFFD468B6,UNSUPPORTEDPARAM
0x00ADFF4C,0xFFD468B6,0xFFD4690A,FATAL
0x00ADFF50,0xFFD4690A,0xFFD4691A,SEIBUF_OVERFLOW
0x00ADFF54,0xFFD4691A,0xFFD468D6,VUIBUF_OVERFLOW
0x00ADFF58,0xFFD468D6,0xFFD468F9,INVALID_SMBASEADDR
0x00BD73B4,0xFFD472E0,0xFF4A7FC8,FA_SetObIntegMode
0x00BD73B8,0xFF4A7FC8,0xFFD472F2,p@-�
0x00BD73BC,0xFFD472F2,0xFF4A7FF8,FA_SetProjectionMode
0x00BD743C,0xFFD478EB,0xFF4AAFB4,FA_CheckAllDigitalPropertyArray
0x00BD7440,0xFF4AAFB4,0xFFD473A1,p@-��G�
0x00BD7444,0xFFD473A1,0xFF4A8304,FA_SubtractTestImage
0x00BD7464,0xFFD47336,0xFF4A8808,FA_ObIntegTestImage
0x00BD7468,0xFF4A8808,0xFFD47507,p@-�
0x00BD746C,0xFFD47507,0xFF4A89E0,FA_GetObInteg
0x00BD747C,0xFFD47307,0xFF4A8AB4,FA_DefectsMergeTestImage
0x00BD7480,0xFF4A8AB4,0xFFD4734A,p@-�
0x00BD7484,0xFFD4734A,0xFF4A9604,FA_ZeroFillTestImage
0x00BD7494,0xFFD4735F,0xFF4A8B30,FA_ProjectionTestImage
0x00BD7498,0xFF4A8B30,0xFFD478A8,p@-�
0x00BD749C,0xFFD478A8,0xFF4A8DD4,FA_ProjectionTestImageEx
0x00BD74A0,0xFF4A8DD4,0xFFD4716F,p@-�
0x00BD74A4,0xFFD4716F,0xFF4A8F6C,FA_ProjectionTestImageV
0x00BD74A8,0xFF4A8F6C,0xFFD4756F,p@-�
0x00BD74AC,0xFFD4756F,0xFF4A9108,FA_HShadingGapCheckOnChannel
0x00BD7524,0xFFD472AC,0xFF4A9C50,FA_AdjustWhiteBalance
0x00BD7528,0xFF4A9C50,0xFFD478C1,p@-�
0x00BD752C,0xFFD478C1,0xFF4A9CB0,FA_SaveWbFix
0x00BD754C,0xFFD474FA,0xFF4A9F04,FA_SetWbCoef
0x00BD7550,0xFF4A9F04,0xFFD474ED,p@-�
0x00BD7554,0xFFD474ED,0xFF4AA050,FA_GetWbCoef
0x00BD755C,0xFFD474DE,0xFF4A9FC0,FA_SetSsWbCoef
0x00BD7560,0xFF4A9FC0,0xFFD474CF,p@-�
0x00BD7564,0xFFD474CF,0xFF4AA06C,FA_GetSsWbCoef
0x00BD7584,0xFFD476E6,0xFF4AA25C,FA_SetColor
0x00BD7588,0xFF4AA25C,0xFFD475D6,p@-�
0x00BD758C,0xFFD475D6,0xFF4AA1EC,FA_GetYuvSsDevelopParam
0x00BD7590,0xFF4AA1EC,0xFFD476AF,l$�0��
0x00BD7594,0xFFD476AF,0xFF4AA458,FA_CreateClrAdjustShootingInfo
0x00BD75A4,0xFFD4759F,0xFF4AA528,FA_UseDefaultSsDevelopParam
0x00BD75A8,0xFF4AA528,0xFFD4779F,p@-�
0x00BD75AC,0xFFD4779F,0xFF326394,FA_SecDifficult
0x00BD75C4,0xFFD47515,0xFF4A7A8C,FA_SetDefaultSetting
0x00BD75C8,0xFF4A7A8C,0xFFD4790B,p@-��]��M�
0x00BD75CC,0xFFD4790B,0xFF4A7B94,FA_GetFreeSizeOfMemory
0x00BE091C,0xFFD482E1,0xFFD482EA,LRAW_YUV
0x00BE0920,0xFFD482EA,0xFFD482F3,MRAW_YUV
0x00BE0924,0xFFD482F3,0xFFD48299,SRAW_YUV
0x00BE0928,0xFFD48299,0xFFD482BD,JPEG_LF_YUV
0x00BE092C,0xFFD482BD,0xFFD482A5,JPEG_LN_YUV
0x00BE0930,0xFFD482A5,0xFFD482C9,JPEG_MF_YUV
0x00BE0934,0xFFD482C9,0xFFD482B1,JPEG_MN_YUV
0x00BE0938,0xFFD482B1,0xFFD482D5,JPEG_SF_YUV
0x00BE093C,0xFFD482D5,0xFFD48281,JPEG_SN_YUV
0x00BE0940,0xFFD48281,0xFFD4828D,JPEG_S2_YUV
0x00BE9124,0xFFD48392,0xFFD4839B,VRAM_CON
0x00BE9128,0xFFD4839B,0xFFD483A3,BUF_CON
0x00BEA76C,0xFFD485E0,0xFFD485EB,REMOTE_CON
0x00BEA770,0xFFD485EB,0x000458D0,epphist_card
0x00BF15C4,0xFFD48392,0xFFD48602,VRAM_CON
0x00BF15C8,0xFFD48602,0x00047B3C,epp_ta10flag
0x00C05078,0xFFD4889B,0xFFD4888F,DPS_DSC
0x00C0507C,0xFFD4888F,0xFFD488A3,ABC01234567
0x00C05080,0xFFD488A3,0xFFD488BD,fileID
0x00C05084,0xFFD488BD,0xFFD4914E,fileName
0x00C05088,0xFFD4914E,0xFFD488B0,date
0x00C0508C,0xFFD488B0,0xFFD46B17,croppingArea
0x00C05090,0xFFD46B17,0xFFD4890D,prtPID
0x00C05600,0xFFD48971,0xFFD48979,AE_Calc
0x00C05604,0xFFD48979,0xFFD48981,WB_Calc
0x00C05608,0xFFD48981,0xFFD48989,PS_Calc
0x00C87200,0xFFD49DAD,0xFFD49DA4,ADDA_ADFB
0x00C87204,0xFFD49DA4,0xFFD49FE5,ADDA_ADB
0x00C8720C,0xFFD49E5C,0xFFD4936E,A2BIF
0x00C87210,0xFFD4936E,0xFFD49DF6,INT_IrDA0
0x00C87214,0xFFD49DF6,0xFFD49DFB,ROMC
0x00C87218,0xFFD49DFB,0xFFD4A01E,EEKO_INTC
0x00C8721C,0xFFD4A01E,0xFFD4A028,TCU_T0OUT
0x00C87220,0xFFD4A028,0xFFD4A032,TCU_T1OUT
0x00C87224,0xFFD4A032,0xFFD4A03D,TCU2_T2OUT
0x00C87228,0xFFD4A03D,0xFFD4A048,TCU3_T3OUT
0x00C8722C,0xFFD4A048,0xFFD4A052,TCU_T4OUT
0x00C87230,0xFFD4A052,0xFFD49D70,TCU_T5OUT
0x00C87234,0xFFD49D70,0xFFD49DC9,TMU_SWA
0x00C87238,0xFFD49DC9,0xFFD49EA3,TMU_SWB
0x00C8723C,0xFFD49EA3,0xFFD49DED,TMU_OCALL
0x00C87240,0xFFD49DED,0xFFD49E78,TMU_PULC
0x00C87244,0xFFD49E78,0xFFD49E86,TMU_PULGENCEI
0x00C87248,0xFFD49E86,0xFFD49D39,TMU_ICAPCEI
0x00C8724C,0xFFD49D39,0xFFD49D8A,TCU_IPCOUT4A
0x00C87250,0xFFD49D8A,0xFFD49D46,TCU_IPCOUT4B
0x00C87254,0xFFD49D46,0xFFD49D97,TCU_IPCOUT5A
0x00C87258,0xFFD49D97,0xFFD49F25,TCU_IPCOUT5B
0x00C8725C,0xFFD49F25,0xFFD49EE3,TMU_OCH0SP
0x00C87260,0xFFD49EE3,0xFFD49F30,TMU_OCH0EP
0x00C87264,0xFFD49F30,0xFFD49EEE,TMU_OCH1SP
0x00C87268,0xFFD49EEE,0xFFD49F3B,TMU_OCH1EP
0x00C8726C,0xFFD49F3B,0xFFD49EF9,TMU_OCH2SP
0x00C87270,0xFFD49EF9,0xFFD49F46,TMU_OCH2EP
0x00C87274,0xFFD49F46,0xFFD49F04,TMU_OCH3SP
0x00C87278,0xFFD49F04,0xFFD493CC,TMU_OCH3EP
0x00C8727C,0xFFD493CC,0xFFD49595,TMU_ICAPCH0
0x00C87280,0xFFD49595,0xFFD496F8,TMU_ICAPCH1
0x00C87284,0xFFD496F8,0xFFD49862,TMU_ICAPCH2
0x00C87288,0xFFD49862,0xFFD4996E,TMU_ICAPCH3
0x00C8728C,0xFFD4996E,0xFFD49A7C,TMU_ICAPCH4
0x00C87290,0xFFD49A7C,0xFFD49B28,TMU_ICAPCH5
0x00C87294,0xFFD49B28,0xFFD49BFC,TMU_ICAPCH6
0x00C87298,0xFFD49BFC,0xFFD493E6,TMU_ICAPCH7
0x00C8729C,0xFFD493E6,0xFFD495B6,HDMAC0_IRQ0
0x00C872A0,0xFFD495B6,0xFFD49722,HDMAC0_IRQ1
0x00C872A4,0xFFD49722,0xFFD49884,HDMAC0_IRQ2
0x00C872A8,0xFFD49884,0xFFD49988,HDMAC0_IRQ3
0x00C872AC,0xFFD49988,0xFFD49A96,HDMAC0_IRQ4
0x00C872B0,0xFFD49A96,0xFFD49B42,HDMAC0_IRQ5
0x00C872B4,0xFFD49B42,0xFFD49444,HDMAC0_IRQ6
0x00C872B8,0xFFD49444,0xFFD493F2,BLTDMAC_0
0x00C872BC,0xFFD493F2,0xFFD495C2,HDMAC1_IRQ0
0x00C872C0,0xFFD495C2,0xFFD4972E,HDMAC1_IRQ1
0x00C872C4,0xFFD4972E,0xFFD493E1,HDMAC1_IRQ2
0x00C872C8,0xFFD493E1,0xFFD495B1,SIO0
0x00C872CC,0xFFD495B1,0xFFD4971D,SIO1
0x00C872D0,0xFFD4971D,0xFFD49877,SIO2
0x00C872D4,0xFFD49877,0xFFD49983,SIO3
0x00C872D8,0xFFD49983,0xFFD4A07E,SIO4
0x00C872DC,0xFFD4A07E,0xFFD4A087,UART0_RX
0x00C872E0,0xFFD4A087,0xFFD4A0B0,UART1_RX
0x00C872E4,0xFFD4A0B0,0xFFD4A0B9,UART0_TX
0x00C872F0,0xFFD4A0C2,0xFFD4942D,A7TDMI_TX
0x00C872F4,0xFFD4942D,0xFFD4A0CC,UART0
0x00C872F8,0xFFD4A0CC,0xFFD49E19,BUZ
0x00C872FC,0xFFD49E19,0xFFD49D5D,ADDA_AD
0x00C87300,0xFFD49D5D,0xFFD49E0F,ADDA_DA
0x00C87304,0xFFD49E0F,0xFFD49D53,ADDA_ASAD
0x00C87308,0xFFD49D53,0xFFD49456,ADDA_ASDA
0x00C8730C,0xFFD49456,0xFFD49616,GPIO_0
0x00C87310,0xFFD49616,0xFFD49782,GPIO_1
0x00C87314,0xFFD49782,0xFFD498DC,GPIO_2
0x00C8731C,0xFFD4A068,0xFFD496BE,I2CDMAC1RX
0x00C87320,0xFFD496BE,0xFFD49FF2,INT_I2C2
0x00C87324,0xFFD49FF2,0xFFD49FE9,CFCONINT
0x00C87328,0xFFD49FE9,0xFFD493AC,SDCONINT
0x00C8732C,0xFFD493AC,0xFFD49575,PMC0
0x00C87330,0xFFD49575,0xFFD496D8,PMC1
0x00C87334,0xFFD496D8,0xFFD4A0D6,PMC2
0x00C87338,0xFFD4A0D6,0xFFD4943B,ipc
0x00C8733C,0xFFD4943B,0xFFD495FB,GPIO_EX0
0x00C87340,0xFFD495FB,0xFFD4976F,GPIO_EX1
0x00C87344,0xFFD4976F,0xFFD498C9,GPIO_EX2
0x00C87348,0xFFD498C9,0xFFD499B5,GPIO_EX3
0x00C8734C,0xFFD499B5,0xFFD49AB5,GPIO_EX4
0x00C87350,0xFFD49AB5,0xFFD49B61,GPIO_EX5
0x00C87354,0xFFD49B61,0xFFD49C35,GPIO_EX6
0x00C87358,0xFFD49C35,0xFFD49477,GPIO_EX7
0x00C8735C,0xFFD49477,0xFFD4963D,EDmac_Wr0
0x00C87360,0xFFD4963D,0xFFD497A9,EDmac_Wr1
0x00C87364,0xFFD497A9,0xFFD49903,EDmac_Wr2
0x00C87368,0xFFD49903,0xFFD499DF,EDmac_Wr3
0x00C8736C,0xFFD499DF,0xFFD49465,EDmac_Wr4
0x00C87370,0xFFD49465,0xFFD49625,EDmac_Rd0
0x00C87374,0xFFD49625,0xFFD49791,EDmac_Rd1
